Club Name,Total Points
Tamaki Outrigger Canoe Club,44
Horouta Waka Hoe Club Inc.,40
Ruamata Waka Ama Club,36
Turangawaewae Waka Sports,28
Rahui Pokeka Waka Sports,27
TOA Waka Ama Club,24
Otaki Waka Hoe Charitable Trust,21
Nga Hoe Horo Outrigger Canoe Cl,14
Mareikura Waka Ama Club Incorpo,11
Hei Matau Paddlers,11
Te Toki Voyaging Trust,10
Pakuranga Outrigger Canoe Club,10
Te Uranga O Te Ra,10
Mitamitaga o le Pasefika Va'a-a,9
Waitakere Outrigger Canoe Club,8
YMP Waka Ama,6
Te Au Rere Waka Ama Club,5
Hawaiki Nui Tuarua Waka Ama,3
Aratika Water Sports Club,2
Porirua Canoe Kayak Club Inc.,2
Hoe Tonga Pacifica Waka Ama Ass,1
Waiheke Waka Ama Club,1
